,sex,age,agegr,placesize,edu,socprof,marital,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,alcabuse,alcsol,wkabint,englang,height,weight,bmi,t
0,FEMALE,46,60-64,"URBAN BELOW 20,000",PRIMARY/NO EDUCATION,SELF-EMPLOYED,DE FACTO SEPARATED,MOSTLY SATISFIED,5,IT`S DIFFICULT TO TELL,NO,NO,YES,23,YES,NO,NO,NO,NONE,161,97,34.04030478575036,0
1,FEMALE,38,16-24,"URBAN 200,000-500,000",POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,DE FACTO SEPARATED,TERRIBLE,9,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO,NO,52,NO,NO,NO,"YES, TO NON-EU COUNTRY",PASSIVE,164,76,31.180367177976116,0
2,MALE,36,16-24,"URBAN 500,000 AND OVER",PRIMARY/NO EDUCATION,UNEMPLOYED,LEGALLY SEPARATED,MOSTLY SATISFIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,6,YES,NO,YES,NO,PASSIVE,164,58,28.528958068885444,0
3,MALE,27,65+,RURAL AREAS,PRIMARY/NO EDUCATION,SELF-EMPLOYED,MARRIED,DELIGHTED,8,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,NO,22,NO,NO,YES,"YES, TO EU COUNTRY",ACTIVE,178,101,51.60960932297994,0
4,MALE,50,25-34,"URBAN 20,000-100,000",PRIMARY/NO EDUCATION,UNEMPLOYED,DIVORCED,MOSTLY SATISFIED,6,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,5,YES,NO,YES,"YES, TO EU COUNTRY",NONE,156,53,28.998485842187733,0
5,MALE,58,65+,"URBAN 100,000-200,000",SECONDARY,RETIRED,WIDOWED,MOSTLY SATISFIED,4,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,YES,8,NO,NO,NO,"YES, TO EU COUNTRY",NONE,161,88,24.726285992892134,0
6,FEMALE,28,65+,"URBAN 20,000-100,000",SECONDARY,FARMER,DE FACTO SEPARATED,DELIGHTED,0,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,YES,9,NO,NO,NO,"YES, TO EU COUNTRY",NONE,174,45,44.361909390447394,0
7,MALE,57,60-64,"URBAN 20,000-100,000",VOCATIONAL/GRAMMAR,FARMER,WIDOWED,UNHAPPY,7,ONE CAN`T BE TOO CAREFUL,NO,NO,NO,22,YES,NO,YES,"YES, TO NON-EU COUNTRY",PASSIVE,173,121,37.62317836571325,0
8,MALE,92,65+,"URBAN 100,000-200,000",POST-SECONDARY OR HIGHER,RETIRED,MARRIED,MOSTLY DISSATISFIED,21,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,47,NO,YES,YES,NO,PASSIVE,164,81,30.945951611028928,0
9,FEMALE,71,25-34,"URBAN 200,000-500,000",SECONDARY,EMPLOYED IN PRIVATE SECTOR,DE FACTO SEPARATED,MOSTLY SATISFIED,5,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,YES,10,YES,YES,NO,"YES, TO NON-EU COUNTRY",NONE,171,90,34.32043751251689,0
10,MALE,86,35-44,"URBAN 200,000-500,000",PRIMARY/NO EDUCATION,FARMER,MARRIED,UNHAPPY,3,IT`S DIFFICULT TO TELL,NO OPINION,YES,NO,67,NO,YES,YES,"YES, TO EU COUNTRY",ACTIVE,163,67,27.029795874181275,0
11,FEMALE,63,60-64,RURAL AREAS,SECONDARY,PUPIL OR STUDENT,DIVORCED,MOSTLY SATISFIED,0,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,NO,15,NO,YES,YES,NO,PASSIVE,174,66,43.35791931785469,0
12,MALE,53,16-24,"URBAN BELOW 20,000",PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,LEGALLY SEPARATED,DELIGHTED,6,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO OPINION,NO,5,YES,YES,NO,"YES, TO EU COUNTRY",ACTIVE,154,104,33.68500082631966,0
13,MALE,75,25-34,"URBAN 200,000-500,000",VOCATIONAL/GRAMMAR,UNEMPLOYED,LEGALLY SEPARATED,MOSTLY SATISFIED,15,IT`S DIFFICULT TO TELL,YES,YES,NO,32,YES,YES,YES,"YES, TO EU COUNTRY",NONE,158,84,35.7932305540441,0
14,MALE,39,65+,"URBAN 200,000-500,000",PRIMARY/NO EDUCATION,PUPIL OR STUDENT,LEGALLY SEPARATED,PLEASED,21,IT`S DIFFICULT TO TELL,NO OPINION,YES,YES,10,NO,NO,NO,NO,ACTIVE,169,67,24.744187463327062,0
15,FEMALE,39,65+,"URBAN 500,000 AND OVER",POST-SECONDARY OR HIGHER,RETIRED,WIDOWED,PLEASED,2,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,6,YES,YES,NO,"YES, TO NON-EU COUNTRY",PASSIVE,156,96,35.8182571743554,0
16,FEMALE,43,65+,"URBAN 500,000 AND OVER",PRIMARY/NO EDUCATION,RETIRED,DIVORCED,MOSTLY DISSATISFIED,5,MOST PEOPLE CAN BE TRUSTED,NO,YES,YES,19,NO,NO,NO,"YES, TO EU COUNTRY",PASSIVE,177,70,27.070933536457808,0
17,FEMALE,70,35-44,"URBAN 200,000-500,000",POST-SECONDARY OR HIGHER,PUPIL OR STUDENT,DE FACTO SEPARATED,DELIGHTED,3,ONE CAN`T BE TOO CAREFUL,NO,NO,YES,18,NO,NO,YES,"YES, TO EU COUNTRY",NONE,160,60,25.574644871391044,0
18,MALE,87,25-34,"URBAN 200,000-500,000",SECONDARY,FARMER,WIDOWED,UNHAPPY,9,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,YES,1,NO,YES,NO,NO,ACTIVE,166,71,27.631916063553657,0
19,FEMALE,40,25-34,"URBAN BELOW 20,000",PRIMARY/NO EDUCATION,FARMER,DE FACTO SEPARATED,MOSTLY DISSATISFIED,20,ONE CAN`T BE TOO CAREFUL,NO,YES,NO,5,YES,NO,NO,NO,ACTIVE,167,74,23.865779174768214,0
20,MALE,36,25-34,"URBAN 500,000 AND OVER",SECONDARY,LONG-TERM SICK/DISABLED,DIVORCED,PLEASED,8,ONE CAN`T BE TOO CAREFUL,NO,NO,NO,29,NO,YES,YES,NO,PASSIVE,159,47,26.62384211297367,0
21,MALE,38,65+,"URBAN 20,000-100,000",SECONDARY,RETIRED,WIDOWED,PLEASED,4,IT`S DIFFICULT TO TELL,NO,NO OPINION,NO,17,NO,NO,NO,"YES, TO EU COUNTRY",NONE,174,54,20.43865962358188,0
22,MALE,42,65+,"URBAN 500,000 AND OVER",PRIMARY/NO EDUCATION,UNEMPLOYED,LEGALLY SEPARATED,UNHAPPY,7,MOST PEOPLE CAN BE TRUSTED,NO,YES,NO,39,NO,YES,YES,"YES, TO NON-EU COUNTRY",ACTIVE,165,64,22.562893288989272,0
