,sex,age,agegr,placesize,edu,socprof,marital,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,alcabuse,alcsol,wkabint,englang,height,weight,bmi,t
0,FEMALE,41,16-24,"URBAN 500,000 AND OVER",PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,SINGLE,MIXED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,3,NO,NO,NO,NO,NONE,169,61,21.92187012848362,0
1,MALE,60,45-59,"URBAN 100,000-200,000",PRIMARY/NO EDUCATION,RETIRED,LEGALLY SEPARATED,MOSTLY SATISFIED,6,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,10,YES,YES,NO,NO,ACTIVE,165,103,21.559361861346225,0
2,FEMALE,52,60-64,"URBAN 200,000-500,000",PRIMARY/NO EDUCATION,EMPLOYED IN PRIVATE SECTOR,SINGLE,MOSTLY DISSATISFIED,0,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,NO,4,NO,NO,NO,NO,ACTIVE,173,60,26.712038290492515,0
3,FEMALE,89,16-24,RURAL AREAS,SECONDARY,FARMER,MARRIED,MOSTLY SATISFIED,0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,YES,62,NO,NO,NO,NO,NONE,184,66,30.669249105661343,0
4,FEMALE,78,60-64,RURAL AREAS,PRIMARY/NO EDUCATION,PUPIL OR STUDENT,SINGLE,MOSTLY SATISFIED,2,ONE CAN`T BE TOO CAREFUL,YES,NO,NO,0,NO,NO,NO,NO,PASSIVE,159,50,23.655112350168803,0
5,FEMALE,42,16-24,"URBAN 100,000-200,000",PRIMARY/NO EDUCATION,PUPIL OR STUDENT,LEGALLY SEPARATED,PLEASED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4,NO,NO,NO,NO,NONE,179,90,18.792062834356834,0
6,MALE,16,45-59,RURAL AREAS,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,MARRIED,MOSTLY SATISFIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,10,NO,NO,NO,NO,NONE,166,55,23.603098794254553,0
7,FEMALE,42,45-59,"URBAN BELOW 20,000",VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,SINGLE,MIXED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,1,NO,NO,NO,NO,NONE,159,59,28.657296524558692,0
8,FEMALE,17,35-44,"URBAN BELOW 20,000",PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,SINGLE,DELIGHTED,0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,3,NO,NO,NO,NO,PASSIVE,171,92,27.876960481374617,0
9,MALE,38,35-44,"URBAN 20,000-100,000",VOCATIONAL/GRAMMAR,UNEMPLOYED,MARRIED,MOSTLY SATISFIED,7,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,10,NO,NO,NO,NO,NONE,158,76,19.32922492074637,0
