,sex,age,agegr,placesize,edu,socprof,marital,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,alcabuse,alcsol,wkabint,englang,height,weight,bmi,t
0,FEMALE,62,16-24,"URBAN 500,000 AND OVER",PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,SINGLE,MIXED,1,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,1,YES,NO,NO,"YES, TO EU COUNTRY",PASSIVE,170,79,24.023313962100506,0
1,MALE,42,35-44,"URBAN 100,000-200,000",PRIMARY/NO EDUCATION,FARMER,LEGALLY SEPARATED,MIXED,8,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,NO,0,YES,YES,NO,"YES, TO NON-EU COUNTRY",ACTIVE,178,71,13.664983311348164,0
2,FEMALE,27,60-64,"URBAN 20,000-100,000",PRIMARY/NO EDUCATION,UNEMPLOYED,DIVORCED,MOSTLY DISSATISFIED,5,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,NO,0,NO,NO,NO,"YES, TO EU COUNTRY",ACTIVE,183,52,30.75728085003924,0
3,FEMALE,77,16-24,"URBAN 500,000 AND OVER",SECONDARY,FARMER,DIVORCED,MIXED,0,IT`S DIFFICULT TO TELL,NO OPINION,YES,YES,8,NO,NO,NO,NO,PASSIVE,177,95,25.510195470362543,0
4,FEMALE,77,60-64,RURAL AREAS,PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,DE FACTO SEPARATED,MOSTLY SATISFIED,2,IT`S DIFFICULT TO TELL,YES,NO,NO,2,YES,NO,NO,"YES, TO NON-EU COUNTRY",PASSIVE,153,49,23.884342381162007,0
5,FEMALE,51,16-24,"URBAN 100,000-200,000",PRIMARY/NO EDUCATION,EMPLOYED IN PUBLIC SECTOR,LEGALLY SEPARATED,UNHAPPY,6,IT`S DIFFICULT TO TELL,YES,NO OPINION,NO,5,NO,YES,NO,NO,NONE,181,85,17.12282335435307,0
6,MALE,34,25-34,RURAL AREAS,VOCATIONAL/GRAMMAR,SELF-EMPLOYED,LEGALLY SEPARATED,DELIGHTED,2,IT`S DIFFICULT TO TELL,YES,NO,NO,4,NO,YES,YES,NO,NONE,176,59,31.791179880287753,0
7,FEMALE,45,45-59,"URBAN BELOW 20,000",VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,SINGLE,MIXED,4,IT`S DIFFICULT TO TELL,NO OPINION,YES,YES,7,NO,YES,YES,"YES, TO NON-EU COUNTRY",NONE,154,55,28.77081372766642,0
8,FEMALE,16,35-44,"URBAN BELOW 20,000",PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,DIVORCED,DELIGHTED,0,IT`S DIFFICULT TO TELL,NO,NO OPINION,NO,0,NO,YES,NO,NO,PASSIVE,167,100,29.904478857266746,0
9,MALE,40,35-44,"URBAN 20,000-100,000",VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,MARRIED,DELIGHTED,5,IT`S DIFFICULT TO TELL,YES,NO OPINION,YES,21,YES,NO,NO,NO,PASSIVE,162,80,22.33103469482769,0
10,FEMALE,79,45-59,"URBAN 500,000 AND OVER",PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,DIVORCED,TERRIBLE,5,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,5,YES,YES,YES,"YES, TO EU COUNTRY",NONE,167,54,21.356799985119803,0
11,MALE,48,45-59,"URBAN 500,000 AND OVER",POST-SECONDARY OR HIGHER,UNEMPLOYED,DE FACTO SEPARATED,TERRIBLE,12,IT`S DIFFICULT TO TELL,NO OPINION,NO,YES,2,NO,NO,NO,"YES, TO EU COUNTRY",PASSIVE,157,87,30.719571379324698,0
12,MALE,44,60-64,"URBAN 20,000-100,000",VOCATIONAL/GRAMMAR,LONG-TERM SICK/DISABLED,DE FACTO SEPARATED,DELIGHTED,4,IT`S DIFFICULT TO TELL,YES,YES,YES,12,NO,YES,YES,"YES, TO EU COUNTRY",ACTIVE,154,100,37.51798117576652,0
13,MALE,16,45-59,"URBAN 500,000 AND OVER",POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,DE FACTO SEPARATED,MIXED,12,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO OPINION,YES,3,YES,NO,YES,"YES, TO NON-EU COUNTRY",PASSIVE,164,66,15.5041656113025,0
14,MALE,57,35-44,RURAL AREAS,VOCATIONAL/GRAMMAR,LONG-TERM SICK/DISABLED,WIDOWED,TERRIBLE,7,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO OPINION,YES,12,YES,YES,NO,"YES, TO NON-EU COUNTRY",ACTIVE,170,127,36.472659026989184,0
15,FEMALE,21,60-64,RURAL AREAS,PRIMARY/NO EDUCATION,RETIRED,LEGALLY SEPARATED,TERRIBLE,5,IT`S DIFFICULT TO TELL,YES,YES,NO,14,YES,YES,YES,"YES, TO NON-EU COUNTRY",ACTIVE,161,102,38.968812820898194,0
