,sex,age,agegr,placesize,edu,socprof,marital,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,alcabuse,alcsol,wkabint,englang,height,weight,bmi,t
0,FEMALE,58,60-64,"URBAN 100,000-200,000",SECONDARY,PUPIL OR STUDENT,WIDOWED,MIXED,10,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,21,YES,YES,NO,"YES, TO NON-EU COUNTRY",NONE,188,110,18.81703792262725,0
1,FEMALE,53,35-44,"URBAN 100,000-200,000",POST-SECONDARY OR HIGHER,PUPIL OR STUDENT,DE FACTO SEPARATED,MOSTLY DISSATISFIED,10,IT`S DIFFICULT TO TELL,NO OPINION,NO,YES,20,NO,NO,YES,"YES, TO NON-EU COUNTRY",NONE,173,83,18.311282212727352,0
2,MALE,78,60-64,"URBAN 100,000-200,000",POST-SECONDARY OR HIGHER,PUPIL OR STUDENT,DIVORCED,MOSTLY DISSATISFIED,1,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO OPINION,YES,21,YES,NO,YES,"YES, TO NON-EU COUNTRY",ACTIVE,186,123,23.131721401943054,0
3,MALE,45,16-24,"URBAN 20,000-100,000",POST-SECONDARY OR HIGHER,PUPIL OR STUDENT,DIVORCED,MIXED,10,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO,NO,24,YES,NO,YES,"YES, TO NON-EU COUNTRY",NONE,169,122,12.962962962962962,0
4,MALE,57,60-64,"URBAN 500,000 AND OVER",POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,WIDOWED,MIXED,10,IT`S DIFFICULT TO TELL,YES,NO OPINION,NO,17,YES,NO,YES,"YES, TO NON-EU COUNTRY",PASSIVE,173,85,12.962962962962962,0
5,FEMALE,82,16-24,"URBAN 20,000-100,000",SECONDARY,EMPLOYED IN PUBLIC SECTOR,DIVORCED,MIXED,10,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO,NO,24,NO,NO,YES,"YES, TO NON-EU COUNTRY",NONE,174,128,19.086130768190923,0
6,FEMALE,97,65+,"URBAN 100,000-200,000",POST-SECONDARY OR HIGHER,LONG-TERM SICK/DISABLED,DIVORCED,MIXED,1,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO,NO,19,YES,NO,YES,"YES, TO NON-EU COUNTRY",PASSIVE,176,114,26.97865489323584,0
7,FEMALE,62,65+,"URBAN 20,000-100,000",SECONDARY,SELF-EMPLOYED,DE FACTO SEPARATED,MIXED,10,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,YES,24,YES,NO,YES,"YES, TO NON-EU COUNTRY",NONE,176,72,16.197926920378322,0
8,FEMALE,88,35-44,"URBAN 500,000 AND OVER",POST-SECONDARY OR HIGHER,SELF-EMPLOYED,WIDOWED,MIXED,10,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO,NO,6,YES,NO,YES,"YES, TO NON-EU COUNTRY",PASSIVE,174,117,17.840134659549108,0
9,FEMALE,57,60-64,"URBAN 20,000-100,000",POST-SECONDARY OR HIGHER,PUPIL OR STUDENT,WIDOWED,MIXED,1,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,NO,7,NO,NO,YES,"YES, TO NON-EU COUNTRY",NONE,166,78,12.962962962962962,0
