,sex,age,agegr,placesize,edu,socprof,marital,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,alcabuse,alcsol,wkabint,englang,height,weight,bmi
0,FEMALE,41,35-44,"URBAN 100,000-200,000",VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,DIVORCED,MIXED,9,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,4,YES,NO,NO,NO,NONE,155,58,22.100089722119357
1,FEMALE,46,45-59,RURAL AREAS,VOCATIONAL/GRAMMAR,FARMER,MARRIED,MOSTLY SATISFIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,5,NO,NO,NO,NO,NONE,170,78,25.76306918241452
2,FEMALE,39,25-34,RURAL AREAS,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,PLEASED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,4,NO,NO,NO,NO,PASSIVE,161,76,26.404906980406345
3,MALE,53,45-59,RURAL AREAS,SECONDARY,FARMER,MARRIED,PLEASED,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,2,NO,NO,NO,NO,NONE,177,80,26.20409452231657
4,FEMALE,46,45-59,RURAL AREAS,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,MOSTLY SATISFIED,9,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,5,NO,NO,NO,NO,NONE,169,81,31.06026503009471
5,FEMALE,69,65+,RURAL AREAS,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,MIXED,11,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,2,NO,NO,NO,NO,NONE,160,68,20.483898169314624
6,MALE,60,45-59,RURAL AREAS,PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,MARRIED,PLEASED,8,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,7,NO,NO,NO,NO,NONE,175,137,34.689667249962554
7,FEMALE,50,45-59,RURAL AREAS,PRIMARY/NO EDUCATION,OTHER ECONOMICALLY INACTIVE,MARRIED,MOSTLY DISSATISFIED,10,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,2,NO,NO,NO,NO,NONE,154,56,32.69425639075501
8,FEMALE,56,65+,"URBAN 100,000-200,000",SECONDARY,RETIRED,MARRIED,MOSTLY SATISFIED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4,NO,NO,NO,NO,NONE,156,64,25.36686215554268
9,MALE,76,65+,"URBAN 100,000-200,000",POST-SECONDARY OR HIGHER,RETIRED,MARRIED,PLEASED,4,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,10,NO,NO,NO,NO,ACTIVE,170,94,27.34670074967702
10,FEMALE,77,65+,RURAL AREAS,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,PLEASED,10,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,3,NO,NO,NO,NO,NONE,160,72,22.694469906113778
11,FEMALE,60,60-64,"URBAN 100,000-200,000",VOCATIONAL/GRAMMAR,RETIRED,MARRIED,PLEASED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,8,NO,NO,NO,NO,NONE,154,58,28.485560921135214
12,MALE,28,25-34,RURAL AREAS,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,PLEASED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,6,NO,NO,NO,NO,ACTIVE,176,72,24.27633349176433
13,FEMALE,37,35-44,RURAL AREAS,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,MOSTLY SATISFIED,3,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,1,NO,NO,NO,NO,NONE,164,69,22.214816271194262
14,FEMALE,40,25-34,RURAL AREAS,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,PLEASED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4,NO,NO,NO,NO,NONE,156,60,22.20294407499625
15,FEMALE,50,45-59,RURAL AREAS,SECONDARY,EMPLOYED IN PUBLIC SECTOR,MARRIED,PLEASED,2,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,5,NO,NO,NO,NO,NONE,155,51,22.38377483900666
16,FEMALE,40,25-34,RURAL AREAS,POST-SECONDARY OR HIGHER,PUPIL OR STUDENT,SINGLE,MOSTLY SATISFIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,9,NO,NO,NO,NO,ACTIVE,170,80,28.77640884160775
17,FEMALE,53,45-59,RURAL AREAS,SECONDARY,OTHER ECONOMICALLY INACTIVE,MARRIED,PLEASED,2,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,7,NO,NO,NO,NO,NONE,159,67,26.86027958162142
18,MALE,39,35-44,"URBAN 100,000-200,000",POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,MARRIED,PLEASED,2,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,2,NO,NO,NO,NO,ACTIVE,179,139,31.87343970717856
19,MALE,45,45-59,RURAL AREAS,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,PLEASED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4,YES,NO,NO,NO,NONE,169,78,25.441548421083024
