,sex,age,agegr,placesize,edu,socprof,marital,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,alcabuse,alcsol,wkabint,englang,height,weight,bmi,t
0,FEMALE,44,35-44,"URBAN BELOW 20,000",PRIMARY/NO EDUCATION,SELF-EMPLOYED,DE FACTO SEPARATED,PLEASED,19,IT`S DIFFICULT TO TELL,NO,NO,YES,24,YES,NO,NO,NO,NONE,171,91,24.828990467150184,0
1,FEMALE,48,16-24,"URBAN 200,000-500,000",POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,DE FACTO SEPARATED,MOSTLY SATISFIED,21,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,34,NO,NO,NO,"YES, TO NON-EU COUNTRY",PASSIVE,159,101,24.828333061217588,0
2,MALE,56,65+,"URBAN 500,000 AND OVER",POST-SECONDARY OR HIGHER,FARMER,LEGALLY SEPARATED,MOSTLY SATISFIED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,10,YES,NO,YES,"YES, TO NON-EU COUNTRY",PASSIVE,178,72,21.60560718490341,0
3,MALE,21,65+,"URBAN 100,000-200,000",PRIMARY/NO EDUCATION,SELF-EMPLOYED,MARRIED,MOSTLY DISSATISFIED,11,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,NO,18,NO,NO,NO,NO,ACTIVE,148,96,19.58033644864273,0
4,MALE,49,25-34,"URBAN 20,000-100,000",PRIMARY/NO EDUCATION,UNEMPLOYED,SINGLE,MOSTLY SATISFIED,7,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,4,YES,YES,YES,"YES, TO EU COUNTRY",NONE,162,111,27.27529368236014,0
5,MALE,45,65+,"URBAN 100,000-200,000",SECONDARY,RETIRED,DIVORCED,DELIGHTED,5,IT`S DIFFICULT TO TELL,NO OPINION,YES,YES,5,NO,NO,NO,"YES, TO EU COUNTRY",NONE,162,108,21.88368559837457,0
6,FEMALE,43,65+,"URBAN 20,000-100,000",SECONDARY,FARMER,DIVORCED,MIXED,0,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,YES,5,YES,YES,YES,"YES, TO NON-EU COUNTRY",NONE,175,118,20.542423343848412,0
7,MALE,23,60-64,"URBAN 20,000-100,000",POST-SECONDARY OR HIGHER,UNEMPLOYED,WIDOWED,UNHAPPY,6,IT`S DIFFICULT TO TELL,NO,NO,NO,1,YES,NO,YES,"YES, TO NON-EU COUNTRY",PASSIVE,155,61,25.76513965607178,0
8,MALE,70,60-64,"URBAN 100,000-200,000",POST-SECONDARY OR HIGHER,RETIRED,MARRIED,MOSTLY DISSATISFIED,17,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,36,NO,YES,YES,NO,PASSIVE,173,103,28.937075607263296,0
9,FEMALE,23,60-64,"URBAN 200,000-500,000",SECONDARY,EMPLOYED IN PRIVATE SECTOR,DIVORCED,MOSTLY SATISFIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,10,YES,YES,NO,"YES, TO NON-EU COUNTRY",NONE,178,93,37.66352708393322,0
10,MALE,58,35-44,"URBAN 100,000-200,000",POST-SECONDARY OR HIGHER,FARMER,MARRIED,UNHAPPY,4,IT`S DIFFICULT TO TELL,NO OPINION,YES,NO,35,NO,YES,YES,"YES, TO EU COUNTRY",ACTIVE,160,57,23.01875038513178,0
11,FEMALE,34,60-64,RURAL AREAS,POST-SECONDARY OR HIGHER,RETIRED,DIVORCED,MOSTLY SATISFIED,1,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,NO,9,NO,YES,YES,NO,PASSIVE,172,70,25.609831407454738,0
12,MALE,38,60-64,"URBAN BELOW 20,000",PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,SINGLE,DELIGHTED,7,IT`S DIFFICULT TO TELL,YES,NO,YES,28,YES,YES,NO,NO,NONE,176,84,22.2874663531843,0
13,MALE,86,25-34,"URBAN 200,000-500,000",POST-SECONDARY OR HIGHER,UNEMPLOYED,WIDOWED,MOSTLY SATISFIED,16,IT`S DIFFICULT TO TELL,YES,YES,NO,57,YES,YES,YES,"YES, TO EU COUNTRY",NONE,162,80,28.49269310549986,0
14,MALE,38,65+,"URBAN 200,000-500,000",PRIMARY/NO EDUCATION,PUPIL OR STUDENT,LEGALLY SEPARATED,PLEASED,20,IT`S DIFFICULT TO TELL,NO OPINION,YES,NO,10,NO,NO,NO,NO,ACTIVE,187,73,20.622490345151444,0
15,FEMALE,40,16-24,"URBAN BELOW 20,000",POST-SECONDARY OR HIGHER,RETIRED,WIDOWED,PLEASED,3,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,21,YES,NO,NO,"YES, TO NON-EU COUNTRY",PASSIVE,160,130,25.33127987107906,0
16,FEMALE,25,60-64,"URBAN 500,000 AND OVER",POST-SECONDARY OR HIGHER,RETIRED,DIVORCED,MOSTLY DISSATISFIED,5,IT`S DIFFICULT TO TELL,NO OPINION,YES,YES,12,NO,YES,NO,"YES, TO EU COUNTRY",PASSIVE,175,77,28.078809135419107,0
17,FEMALE,58,35-44,"URBAN 200,000-500,000",SECONDARY,PUPIL OR STUDENT,WIDOWED,DELIGHTED,3,IT`S DIFFICULT TO TELL,NO,NO,YES,22,NO,NO,YES,"YES, TO EU COUNTRY",NONE,177,106,28.25002731448429,0
18,MALE,63,60-64,"URBAN 200,000-500,000",SECONDARY,OTHER ECONOMICALLY INACTIVE,WIDOWED,UNHAPPY,12,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,YES,1,NO,YES,NO,NO,ACTIVE,169,101,22.632973875044538,0
19,FEMALE,53,65+,"URBAN BELOW 20,000",PRIMARY/NO EDUCATION,FARMER,DE FACTO SEPARATED,MOSTLY DISSATISFIED,4,ONE CAN`T BE TOO CAREFUL,NO,YES,NO,3,YES,NO,NO,NO,ACTIVE,168,78,26.554856172156157,0
20,FEMALE,34,25-34,"URBAN 20,000-100,000",SECONDARY,LONG-TERM SICK/DISABLED,DIVORCED,PLEASED,12,MOST PEOPLE CAN BE TRUSTED,NO,NO OPINION,NO,33,NO,YES,YES,NO,PASSIVE,190,87,24.389815017475392,0
21,MALE,42,65+,"URBAN 500,000 AND OVER",SECONDARY,LONG-TERM SICK/DISABLED,WIDOWED,MOSTLY SATISFIED,9,IT`S DIFFICULT TO TELL,NO,YES,NO,17,NO,NO,NO,"YES, TO EU COUNTRY",NONE,176,83,22.120901886568365,0
22,MALE,20,25-34,"URBAN 500,000 AND OVER",PRIMARY/NO EDUCATION,UNEMPLOYED,LEGALLY SEPARATED,UNHAPPY,6,MOST PEOPLE CAN BE TRUSTED,NO,YES,NO,23,NO,NO,YES,"YES, TO NON-EU COUNTRY",ACTIVE,186,71,20.439491375297514,0
23,MALE,55,65+,RURAL AREAS,POST-SECONDARY OR HIGHER,OTHER ECONOMICALLY INACTIVE,WIDOWED,MOSTLY SATISFIED,9,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO,NO,7,NO,NO,NO,"YES, TO EU COUNTRY",NONE,187,102,21.768220036741553,0
24,MALE,31,16-24,RURAL AREAS,SECONDARY,OTHER ECONOMICALLY INACTIVE,WIDOWED,UNHAPPY,9,IT`S DIFFICULT TO TELL,YES,YES,YES,29,NO,YES,NO,NO,NONE,162,71,34.318697433740276,0
25,FEMALE,34,25-34,RURAL AREAS,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,WIDOWED,MOSTLY SATISFIED,0,MOST PEOPLE CAN BE TRUSTED,NO,NO,YES,20,YES,NO,NO,"YES, TO EU COUNTRY",ACTIVE,164,77,26.725156162736443,0
26,FEMALE,43,25-34,"URBAN 100,000-200,000",POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,MARRIED,MOSTLY DISSATISFIED,7,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,YES,5,NO,YES,YES,"YES, TO EU COUNTRY",PASSIVE,177,76,26.60501229136527,0
